"COMPUTERNAME","OUPATH","ADDEDBY","DATEADDED","SUCCESSFUL","ERRORS"
"KARL-0231-007","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","N/A","False","MAC Address is tied to PLSU-0111-06a"
"KARL-0231-010","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","6/18/2021 10:01:21 AM","True",""
"KARL-0231-011","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","6/18/2021 10:01:22 AM","True",""
"KARL-0231-012","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","6/18/2021 10:01:23 AM","True",""
"KARL-0231-013","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","N/A","False","MAC Address is tied to PLSU-0111-05a"
"KARL-0231-014","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","N/A","False","MAC Address is tied to LIBR-0105-101"
"KARL-0231-001","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","6/18/2021 10:02:44 AM","True",""
"KARL-0231-002","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","N/A","False","'KARL-0231-002' already exists in the AD;MAC Address is tied to KARL-0231-002"
"KARL-0231-005","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","6/18/2021 10:02:46 AM","True",""
"KARL-0231-006","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","N/A","False","'KARL-0231-006' already exists in the AD;MAC Address is tied to KARL-0231-006"
